imgdir,imgname,x,y,z,rot_x,rot_y,rot_z
13000,13030,-0.0005198050899351397,0.7082815746194788,0.008562786135284014,-0.07917709419507132,-0.01262591469582333,-0.08248619884355526
13000,13853,-0.001513014883928305,0.7246160623608614,0.008873882283718052,0.050084309695021006,-0.015903779537464927,-0.43757255207600815
13000,13336,-0.0008179949679951618,0.7112569772505389,0.007997262911045317,-0.0031235838780393817,0.01355605747522422,0.05219358524937299
13000,13782,-0.0022212284987952447,0.7042580780654935,0.006904241908214635,-0.1740399281120712,0.003085474951671066,-0.04314402038234203
13000,13287,-0.00013115556073689462,0.7880730164105765,0.006433070237879469,-0.2682604954337475,-0.03318064682457416,0.00910479652869744
13000,13709,-0.0005949952887444153,0.7305967550215544,0.006841190246313461,-0.0508571485968065,-0.005977542429688927,-0.049586568534538564
13000,13487,-0.0004820226969055652,0.7056563144162947,0.00905988689254635,-0.024948258724045998,0.014945415189013872,0.11251716965702138
13000,13193,-0.0020506737257962758,0.7330821201787788,0.006604970653706124,-0.02118295999423841,0.04089494211711513,0.04954046314786009
13000,13862,-0.002047694509170653,0.6957996320373909,0.008016382577981181,-0.08581794681986031,-0.018201318987811382,-0.1759835807407991
13000,13703,0.0009564473995378993,0.6893940930907748,0.0067504484268049,-0.2452311258295938,-0.015550166080162195,0.10150734426829476
13000,13409,0.001854142219225469,0.7225014096810641,0.007795655799523169,-0.39626955574135014,-0.09056117979101162,0.4165474631022393
13000,13960,-0.001491987946726663,0.6990759573816517,0.007752046501192567,-0.16813297350228928,-0.009227513498413609,-0.15936415465726156
13000,13572,0.00010119720895551115,0.7100927909395708,0.0072077918723972,0.09459882755347143,-0.02808501093796604,-0.1439263676840945
13000,13466,0.0004069994893665202,0.6930011477819689,0.007027378999259897,-0.2609676372471243,0.017402348321392407,0.11877265220159249
13000,13814,0.0020768687081599234,0.6727863944308147,0.010636392020929086,-0.10791906675917898,-0.0008529261925816073,0.4473566404649262
13000,13846,-0.0006201115185145715,0.6978414775754436,0.008853413404233585,-0.03911342551501973,0.04676659540747169,0.3509714289497215
13000,13650,0.0003142926645327285,0.7162334967787659,0.0068887954551842805,-0.1960089475063922,-0.0043010684253886105,0.050565207974503645
13000,13750,0.000281317307930602,0.7381680058139765,0.010113165022506448,-0.13242546065653105,-0.007770807982640702,-0.0008252936568741319
13000,13437,-0.0016882868105069606,0.7144073676643117,0.0085882497661401,-0.04526345095523579,0.009578075180190312,0.0421278968297502
13000,13480,-0.007204881226449997,0.6701449812523277,0.00495886934880139,-0.4176432375456556,0.18622324299885756,-0.6626183363306659
13000,13244,-0.00301899469336188,0.6772266148553718,0.008318568913692051,-0.27896838137131064,0.013638977649509984,-0.15772717614837112
13000,13203,-0.00301899469336188,0.6772266148553718,0.008318568913692051,-0.27896838137131064,0.013638977649509984,-0.15772717614837112
